Device,Test Name,Test Status,Message(s),Test description,Test category
CH3-Border-Leaf-A,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
CH3-Border-Leaf-A,VerifyNTP,success,,Verifies if NTP is synchronised.,System
CH3-Border-Leaf-A,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
CH3-Border-Leaf-A,VerifyVxlanConfigSanity,failure,Vxlan Category: localVtep - Config sanity check is not passing,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
CH3-Border-Leaf-B,VerifyBGPPeerSession,failure,Peer: 10.245.217.7 VRF: default - Incorrect session state - Expected: Established Actual: Active - Peer: 10.245.217.8 VRF: default - Incorrect session state - Expected: Established Actual: Active,Verifies the session state of BGP peers.,BGP
CH3-Border-Leaf-B,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
CH3-Border-Leaf-B,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
CH3-Border-Leaf-B,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
CH3-Border-Leaf-B,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
CH3-Border-Leaf-B,VerifyReachability,failure,Destination 10.245.217.7 from Loopback0 in VRF default - Packet loss detected - Transmitted: 1 Received: 0 - Destination 10.245.217.8 from Loopback0 in VRF default - Packet loss detected - Transmitted: 1 Received: 0,Verifies reachability to BGP neighbors with an update source configured.,Connectivity
CH3-Border-Leaf-B,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on vEOS-lab,Verifies the status of power supply fans and all fan trays.,Hardware
CH3-Border-Leaf-B,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on vEOS-lab,Verifies the power supplies state and input voltage.,Hardware
CH3-Border-Leaf-B,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on vEOS-lab,Verifies the device's system cooling status.,Hardware
CH3-Border-Leaf-B,VerifyTemperature,skipped,VerifyTemperature test is not supported on vEOS-lab,Verifies if the device temperature is within acceptable limits.,Hardware
